name/season,injury_days_list,injury_days_vector
abdoulaye-kamara_23/24,"[(1, 55), (3, 18), (13, 26)]","[0, 55, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26]"
abdourahmane-barry_20/21,"[(10, 41), (13, 38)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 38]"
abdourahmane-barry_21/22,"[(1, 5)]","[0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
achraf-hakimi_20/21,"[(4, 3)]","[0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
achraf-hakimi_21/22,"[(13, 12)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12]"
achraf-hakimi_22/23,"[(13, 19)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19]"
adam-bodzek_19/20,"[(1, 14), (13, 18), (13, 20)]","[0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38]"
adam-bodzek_21/22,"[(1, 58), (5, 100)]","[0, 58, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0]"
adam-hlozek_19/20,"[(11, 7)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0]"
adam-hlozek_20/21,"[(0, 7), (4, 133)]","[7, 0, 0, 0, 133, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
adam-hlozek_21/22,"[(3, 17)]","[0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
adam-hlozek_23/24,"[(4, 22)]","[0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
adam-szalai_20/21,"[(11, 7), (3, 35)]","[0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0]"
adam-szalai_21/22,"[(11, 10), (1, 7), (3, 35)]","[0, 7, 0, 35, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0]"
adam-szalai_22/23,"[(1, 4)]","[0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
ademola-lookman_19/20,"[(8, 6), (5, 7), (11, 6)]","[0, 0, 0, 0, 0, 7, 0, 0, 6, 0, 0, 6, 0, 0]"
ademola-lookman_20/21,"[(1, 13)]","[0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
ademola-lookman_22/23,"[(13, 35)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35]"
ademola-lookman_23/24,"[(4, 14)]","[0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
admir-mehmedi_19/20,"[(1, 34), (1, 3), (5, 4)]","[0, 37, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0]"
admir-mehmedi_20/21,"[(8, 14), (4, 26)]","[0, 0, 0, 0, 26, 0, 0, 0, 14, 0, 0, 0, 0, 0]"
admir-mehmedi_21/22,"[(13, 76), (1, 31), (3, 35)]","[0, 31, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 76]"
admir-mehmedi_22/23,"[(11, 3)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0]"
adrian-beck_19/20,"[(11, 5)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0]"
adrian-beck_21/22,"[(2, 12)]","[0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
adrian-beck_22/23,"[(4, 165)]","[0, 0, 0, 0, 165, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
adrian-fein_19/20,"[(2, 14)]","[0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
adrian-fein_21/22,"[(13, 44), (11, 21)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 44]"
adrian-fein_22/23,"[(13, 48), (11, 4)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 48]"
adrian-stanilewicz_20/21,"[(3, 112)]","[0, 0, 0, 112, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
adrian-stanilewicz_22/23,"[(11, 3)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0]"
adrian-stanilewicz_23/24,"[(1, 16)]","[0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
afimico-pululu_19/20,"[(1, 4)]","[0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
afimico-pululu_20/21,"[(1, 42), (1, 15)]","[0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
afimico-pululu_22/23,"[(3, 13), (11, 13), (1, 46)]","[0, 46, 0, 13, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0]"
agustin-rogel_19/20,"[(9, 92)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 92, 0, 0, 0, 0]"
agustin-rogel_22/23,"[(3, 4), (3, 22)]","[0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
agustin-rogel_23/24,"[(3, 282)]","[0, 0, 0, 282, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
ahmed-kutucu_19/20,"[(13, 3), (4, 9)]","[0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 3]"
ahmed-kutucu_20/21,"[(1, 7)]","[0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
ahmet-gurleyen_20/21,"[(0, 29), (0, 17), (11, 2)]","[46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]"
ahmet-gurleyen_22/23,"[(10, 21)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0]"
ahmet-gurleyen_23/24,"[(3, 2)]","[0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
aissa-laidouni_20/21,"[(1, 21)]","[0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
ajdin-hrustic_19/20,"[(3, 7)]","[0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
ajdin-hrustic_21/22,"[(1, 7)]","[0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
ajdin-hrustic_22/23,"[(4, 131), (1, 14)]","[0, 14, 0, 0, 131, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
akaki-gogia_19/20,"[(3, 312)]","[0, 0, 0, 312, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
akaki-gogia_20/21,"[(11, 81)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 81, 0, 0]"
akaki-gogia_21/22,"[(4, 55), (11, 7), (11, 2)]","[0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 9, 0, 0]"
alaa-bakir_21/22,"[(4, 10), (8, 2), (11, 15)]","[0, 0, 0, 0, 10, 0, 0, 0, 2, 0, 0, 15, 0, 0]"
alaa-bakir_22/23,"[(11, 2), (3, 51), (3, 90)]","[0, 0, 0, 141, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]"
alaa-bakir_23/24,"[(11, 5), (3, 64)]","[0, 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0]"
alassane-plea_19/20,"[(13, 14), (1, 21)]","[0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14]"
alassane-plea_20/21,"[(1, 4), (1, 14)]","[0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
alassane-plea_21/22,"[(6, 14)]","[0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0]"
alassane-plea_22/23,"[(13, 21)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21]"
alassane-plea_23/24,"[(6, 60), (6, 4)]","[0, 0, 0, 0, 0, 0, 64, 0, 0, 0, 0, 0, 0, 0]"
alejandro-grimaldo_19/20,"[(3, 91)]","[0, 0, 0, 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
alejandro-grimaldo_20/21,"[(1, 8), (4, 7)]","[0, 8, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
alejandro-grimaldo_23/24,"[(11, 1)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
aleksandar-dragovic_23/24,"[(9, 31)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0]"
aleksandar-pavlovic_21/22,"[(13, 58)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58]"
aleksandar-pavlovic_23/24,"[(11, 3), (0, 3)]","[3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0]"
alessandro-schopf_19/20,"[(1, 39), (13, 4)]","[0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4]"
alessandro-schopf_20/21,"[(13, 13), (8, 17)]","[0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 13]"
alessandro-schopf_22/23,"[(1, 22), (4, 4)]","[0, 22, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
alessandro-schopf_23/24,"[(0, 10)]","[10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
alex-kral_20/21,"[(0, 21)]","[21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
alex-kral_22/23,"[(5, 19)]","[0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0]"
alexander-esswein_20/21,"[(8, 9), (8, 7)]","[0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0]"
alexander-esswein_21/22,"[(11, 7)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0]"
alexander-esswein_23/24,"[(7, 19)]","[0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0]"
alexander-lungwitz_20/21,"[(13, 5)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5]"
alexander-lungwitz_23/24,"[(13, 20)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20]"
alexander-meyer_19/20,"[(3, 18)]","[0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
alexander-meyer_20/21,"[(1, 21)]","[0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
alexander-meyer_21/22,"[(3, 18)]","[0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
alexander-nubel_20/21,"[(10, 42)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0]"
alexander-nubel_21/22,"[(2, 5)]","[0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
alexander-nubel_23/24,"[(1, 12), (0, 19)]","[19, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
alexander-schwolow_19/20,"[(1, 63)]","[0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
alexander-schwolow_21/22,"[(1, 87)]","[0, 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
alexander-schwolow_23/24,"[(11, 6)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0]"
alexander-sorloth_21/22,"[(11, 2), (13, 22), (11, 13)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 22]"
alexander-sorloth_22/23,"[(11, 4), (4, 9)]","[0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 4, 0, 0]"
alexander-sorloth_23/24,"[(13, 24)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24]"
alexander-stolz_19/20,"[(7, 30)]","[0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0]"
alexandru-maxim_21/22,"[(11, 11), (4, 51)]","[0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 11, 0, 0]"
alexis-tibidi_23/24,"[(11, 121)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 121, 0, 0]"
alfons-amade_19/20,"[(13, 27)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27]"
alfons-amade_22/23,"[(3, 45)]","[0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
alfred-finnbogason_19/20,"[(3, 33), (9, 66)]","[0, 0, 0, 33, 0, 0, 0, 0, 0, 66, 0, 0, 0, 0]"
alfred-finnbogason_20/21,"[(1, 8), (8, 66), (1, 20), (1, 11), (4, 20), (13, 15)]","[0, 39, 0, 0, 20, 0, 0, 0, 66, 0, 0, 0, 0, 15]"
alfred-finnbogason_21/22,"[(13, 35), (1, 55), (4, 33), (10, 12)]","[0, 55, 0, 0, 33, 0, 0, 0, 0, 0, 12, 0, 0, 35]"
alfred-finnbogason_22/23,"[(9, 42), (9, 85)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 127, 0, 0, 0, 0]"
alfred-finnbogason_23/24,"[(1, 45)]","[0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
alfredo-morales_19/20,"[(13, 22)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22]"
alfredo-morales_20/21,"[(13, 21), (4, 45)]","[0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 21]"
alfredo-morales_22/23,"[(8, 21)]","[0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0]"
alfredo-morales_23/24,"[(13, 105)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 105]"
ali-akman_22/23,"[(1, 22)]","[0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
almamy-toure_19/20,"[(13, 32)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32]"
almamy-toure_20/21,"[(13, 81)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 81]"
almamy-toure_21/22,"[(13, 70)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 70]"
almamy-toure_22/23,"[(11, 7), (1, 14), (11, 11), (13, 52)]","[0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 52]"
alphonso-davies_20/21,"[(4, 46)]","[0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
alphonso-davies_21/22,"[(13, 7), (3, 3), (4, 35)]","[0, 0, 0, 3, 35, 0, 0, 0, 0, 0, 0, 0, 0, 7]"
alphonso-davies_22/23,"[(1, 49), (1, 11), (2, 3), (1, 4)]","[0, 64, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
alphonso-davies_23/24,"[(10, 21)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0]"
alvaro-odriozola_20/21,"[(1, 21), (13, 20), (8, 63)]","[0, 21, 0, 0, 0, 0, 0, 0, 63, 0, 0, 0, 0, 20]"
alvaro-odriozola_21/22,"[(1, 17), (3, 17), (3, 8)]","[0, 17, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
alvaro-odriozola_22/23,"[(1, 12)]","[0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
alvaro-odriozola_23/24,"[(3, 58), (13, 12), (13, 11), (13, 8)]","[0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31]"
amadou-haidara_21/22,"[(10, 48), (4, 10)]","[0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 48, 0, 0, 0]"
amadou-haidara_23/24,"[(1, 54)]","[0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
amin-sarr_21/22,"[(11, 5)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0]"
amin-sarr_22/23,"[(13, 18)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18]"
amin-sarr_23/24,"[(3, 48)]","[0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
amin-younes_19/20,"[(1, 7), (1, 8), (11, 4), (1, 2)]","[0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0]"
amin-younes_20/21,"[(13, 10), (1, 4)]","[0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10]"
amin-younes_22/23,"[(4, 56), (11, 10), (1, 24), (11, 4)]","[0, 24, 0, 0, 56, 0, 0, 0, 0, 0, 0, 14, 0, 0]"
amine-adli_21/22,"[(1, 137)]","[0, 137, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
amine-adli_22/23,"[(9, 42)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0]"
amine-harit_19/20,"[(10, 77), (13, 5)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 77, 0, 0, 5]"
amine-harit_20/21,"[(3, 6)]","[0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
amine-harit_21/22,"[(13, 4)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4]"
amine-harit_22/23,"[(3, 213)]","[0, 0, 0, 213, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
amir-abrashi_19/20,"[(1, 25)]","[0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
amir-abrashi_20/21,"[(11, 5), (1, 4)]","[0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0]"
amir-abrashi_21/22,"[(1, 23), (1, 61), (1, 15), (2, 8)]","[0, 99, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
amir-abrashi_22/23,"[(9, 10), (1, 22)]","[0, 22, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0]"
amos-pieper_20/21,"[(13, 17)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17]"
amos-pieper_21/22,"[(11, 6), (4, 7)]","[0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 6, 0, 0]"
amos-pieper_22/23,"[(4, 61), (4, 30), (4, 6), (2, 5)]","[0, 0, 5, 0, 97, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
amos-pieper_23/24,"[(4, 43), (11, 12), (4, 98), (1, 18)]","[0, 18, 0, 0, 141, 0, 0, 0, 0, 0, 0, 12, 0, 0]"
anderson-lucoqui_21/22,"[(10, 45)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 0]"
anderson-lucoqui_22/23,"[(2, 11)]","[0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
andi-zeqiri_21/22,"[(0, 11)]","[11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
andras-schafer_20/21,"[(1, 7), (3, 10)]","[0, 7, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
andras-schafer_21/22,"[(1, 21), (1, 7)]","[0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
andras-schafer_22/23,"[(4, 44), (4, 86), (4, 80)]","[0, 0, 0, 0, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
andras-schafer_23/24,"[(4, 142)]","[0, 0, 0, 0, 142, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
andre-hahn_19/20,"[(1, 32), (11, 7)]","[0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0]"
andre-hahn_22/23,"[(6, 483), (4, 18)]","[0, 0, 0, 0, 18, 0, 483, 0, 0, 0, 0, 0, 0, 0]"
andre-hoffmann_20/21,"[(6, 141), (1, 26), (1, 8)]","[0, 34, 0, 0, 0, 0, 141, 0, 0, 0, 0, 0, 0, 0]"
andre-hoffmann_21/22,"[(2, 5), (2, 55)]","[0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
andre-hoffmann_22/23,"[(1, 13), (1, 61)]","[0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
andre-hoffmann_23/24,"[(1, 11), (1, 26), (9, 108), (1, 15)]","[0, 52, 0, 0, 0, 0, 0, 0, 0, 108, 0, 0, 0, 0]"
andre-silva_19/20,"[(4, 15)]","[0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
andre-silva_20/21,"[(5, 6), (1, 4)]","[0, 4, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0]"
andre-silva_22/23,"[(13, 115)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 115]"
andre-silva_23/24,"[(8, 8), (8, 43)]","[0, 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 0]"
andreas-hanche-olsen_22/23,"[(9, 75)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 75, 0, 0, 0, 0]"
andreas-hanche-olsen_23/24,"[(1, 18), (11, 3), (4, 140), (4, 20)]","[0, 18, 0, 0, 160, 0, 0, 0, 0, 0, 0, 3, 0, 0]"
andreas-ivan_20/21,"[(4, 22), (13, 7), (13, 5)]","[0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 12]"
andreas-ivan_21/22,"[(4, 14)]","[0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
andreas-ivan_23/24,"[(0, 29), (0, 14), (13, 245)]","[43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 245]"
andreas-linde_22/23,"[(11, 6), (8, 25), (11, 3)]","[0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 9, 0, 0]"
andreas-linde_23/24,"[(11, 4), (11, 6), (6, 15)]","[0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 10, 0, 0]"
andreas-luthe_20/21,"[(3, 8), (11, 3)]","[0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0]"
andreas-luthe_21/22,"[(1, 22)]","[0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
andreas-luthe_22/23,"[(7, 6)]","[0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0]"
andreas-muller_22/23,"[(10, 183)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 183, 0, 0, 0]"
andreas-poulsen_19/20,"[(1, 33), (1, 6), (10, 33)]","[0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0]"
andreas-poulsen_20/21,"[(1, 19), (9, 116)]","[0, 19, 0, 0, 0, 0, 0, 0, 0, 116, 0, 0, 0, 0]"
andreas-voglsammer_19/20,"[(4, 103)]","[0, 0, 0, 0, 103, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
andreas-voglsammer_20/21,"[(1, 47), (4, 91)]","[0, 47, 0, 0, 91, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
andrej-kramaric_19/20,"[(3, 32), (0, 10), (0, 4), (3, 14), (3, 84)]","[14, 0, 0, 130, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
andrej-kramaric_20/21,"[(4, 7), (4, 11), (11, 14)]","[0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 14, 0, 0]"
andrej-kramaric_21/22,"[(2, 10)]","[0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
andrej-kramaric_22/23,"[(4, 7)]","[0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
andrej-kramaric_23/24,"[(13, 33)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33]"
andres-andrade_21/22,"[(10, 14)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0]"
andrey-lunev_19/20,"[(0, 38), (9, 56)]","[38, 0, 0, 0, 0, 0, 0, 0, 0, 56, 0, 0, 0, 0]"
andrey-lunev_20/21,"[(0, 80)]","[80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
andrey-lunev_21/22,"[(10, 87)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 87, 0, 0, 0]"
andrey-lunev_22/23,"[(5, 117), (13, 42)]","[0, 0, 0, 0, 0, 117, 0, 0, 0, 0, 0, 0, 0, 42]"
angelino_20/21,"[(1, 40)]","[0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
