name/season,shots,top-speed,duels-won,aerial-duels-won,crosses,fouls,distance,sprints,intensive-runs,injury_days_list,injury_days_vector
alfred-finnbogason_2020/2021,14.0,31.65,61.0,17.0,4.0,8.0,73.1,186.0,576.0,"[(1, 8), (8, 66), (1, 20), (1, 11), (4, 20), (13, 15)]","[0, 39, 0, 0, 20, 0, 0, 0, 66, 0, 0, 0, 0, 15]"
alfredo-morales_2019/2020,19.0,32.12,257.0,95.0,10.0,28.0,228.6,367.0,1418.0,"[(13, 22)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22]"
almamy-toure_2019/2020,14.0,33.87,166.0,43.0,59.0,19.0,186.7,384.0,1125.0,"[(13, 32)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32]"
almamy-toure_2020/2021,16.0,34.82,100.0,24.0,41.0,12.0,96.8,238.0,719.0,"[(13, 81)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 81]"
almamy-toure_2021/2022,6.0,35.53,64.0,18.0,10.0,7.0,63.2,117.0,382.0,"[(13, 70)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 70]"
almamy-toure_2022/2023,3.0,32.66,58.0,17.0,4.0,4.0,46.4,79.0,240.0,"[(11, 7), (1, 14), (11, 11), (13, 52)]","[0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 52]"
alphonso-davies_2020/2021,4.0,35.97,284.0,22.0,25.0,12.0,202.4,650.0,1517.0,"[(4, 46)]","[0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
alphonso-davies_2021/2022,20.0,36.08,266.0,16.0,35.0,14.0,216.9,703.0,1629.0,"[(13, 7), (3, 3), (4, 35)]","[0, 0, 0, 3, 35, 0, 0, 0, 0, 0, 0, 0, 0, 7]"
alphonso-davies_2022/2023,19.0,36.53,273.0,9.0,19.0,7.0,247.8,778.0,1877.0,"[(1, 49), (1, 11), (2, 3), (1, 4)]","[0, 64, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
alphonso-davies_2023/2024,13.0,36.41,254.0,18.0,20.0,15.0,251.7,792.0,1785.0,"[(10, 21)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0]"
amadou-haidara_2021/2022,14.0,32.75,163.0,24.0,4.0,20.0,170.3,218.0,1043.0,"[(10, 48), (4, 10)]","[0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 48, 0, 0, 0]"
amadou-haidara_2023/2024,22.0,32.13,182.0,39.0,1.0,15.0,191.3,234.0,978.0,"[(1, 54)]","[0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
amin-sarr_2023/2024,4.0,34.97,46.0,10.0,1.0,3.0,49.6,122.0,342.0,"[(3, 48)]","[0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
amin-younes_2020/2021,36.0,30.79,233.0,1.0,26.0,38.0,181.2,298.0,1246.0,"[(13, 10), (1, 4)]","[0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10]"
amine-adli_2021/2022,36.0,34.72,192.0,18.0,15.0,22.0,161.8,496.0,1166.0,"[(1, 137)]","[0, 137, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
amine-adli_2022/2023,36.0,33.76,225.0,36.0,10.0,39.0,183.5,557.0,1362.0,"[(9, 42)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0]"
amine-harit_2019/2020,28.0,32.5,272.0,9.0,12.0,16.0,266.2,640.0,1885.0,"[(10, 77), (13, 5)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 77, 0, 0, 5]"
amine-harit_2020/2021,22.0,33.66,334.0,8.0,12.0,25.0,250.6,662.0,1845.0,"[(3, 6)]","[0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
amir-abrashi_2019/2020,4.0,32.38,96.0,15.0,7.0,17.0,89.6,192.0,595.0,"[(1, 25)]","[0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
amos-pieper_2020/2021,16.0,33.4,309.0,107.0,3.0,20.0,324.5,450.0,1847.0,"[(13, 17)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17]"
amos-pieper_2021/2022,13.0,33.14,250.0,88.0,2.0,12.0,288.7,456.0,1514.0,"[(11, 6), (4, 7)]","[0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 6, 0, 0]"
amos-pieper_2022/2023,11.0,33.19,233.0,89.0,6.0,22.0,245.9,418.0,1427.0,"[(4, 61), (4, 30), (4, 6), (2, 5)]","[0, 0, 5, 0, 97, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
amos-pieper_2023/2024,3.0,32.65,82.0,34.0,2.0,5.0,73.9,123.0,416.0,"[(4, 43), (11, 12), (4, 98), (1, 18)]","[0, 18, 0, 0, 141, 0, 0, 0, 0, 0, 0, 12, 0, 0]"
anderson-lucoqui_2021/2022,8.0,32.48,86.0,6.0,9.0,16.0,88.4,156.0,563.0,"[(10, 45)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 0]"
andi-zeqiri_2021/2022,33.0,31.58,98.0,18.0,6.0,18.0,131.9,352.0,1011.0,"[(0, 11)]","[11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
andras-schafer_2021/2022,7.0,31.15,31.0,3.0,1.0,6.0,36.1,66.0,247.0,"[(1, 21), (1, 7)]","[0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
andras-schafer_2022/2023,9.0,33.3,87.0,12.0,6.0,13.0,117.1,214.0,773.0,"[(4, 44), (4, 86), (4, 80)]","[0, 0, 0, 0, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
andras-schafer_2023/2024,19.0,33.88,184.0,24.0,13.0,22.0,172.1,348.0,1105.0,"[(4, 142)]","[0, 0, 0, 0, 142, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
andre-hahn_2019/2020,15.0,35.1,103.0,29.0,14.0,24.0,93.8,239.0,675.0,"[(1, 32), (11, 7)]","[0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0]"
andre-hahn_2022/2023,6.0,32.21,38.0,17.0,3.0,7.0,52.7,114.0,308.0,"[(6, 483), (4, 18)]","[0, 0, 0, 0, 18, 0, 483, 0, 0, 0, 0, 0, 0, 0]"
andre-silva_2019/2020,55.0,32.58,166.0,48.0,10.0,13.0,181.8,472.0,1253.0,"[(4, 15)]","[0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
andre-silva_2020/2021,114.0,33.11,318.0,71.0,9.0,17.0,327.4,786.0,2167.0,"[(5, 6), (1, 4)]","[0, 4, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0]"
andre-silva_2022/2023,62.0,33.39,197.0,28.0,3.0,27.0,207.5,544.0,1543.0,"[(13, 115)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 115]"
andreas-hanche-olsen_2022/2023,9.0,33.9,232.0,93.0,4.0,21.0,188.0,390.0,1137.0,"[(9, 75)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 75, 0, 0, 0, 0]"
andreas-voglsammer_2020/2021,33.0,34.29,128.0,44.0,14.0,14.0,137.4,262.0,800.0,"[(1, 47), (4, 91)]","[0, 47, 0, 0, 91, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
andrej-kramaric_2019/2020,43.0,32.72,97.0,12.0,20.0,5.0,181.3,425.0,1258.0,"[(3, 32), (0, 10), (0, 4), (3, 14), (3, 84)]","[14, 0, 0, 130, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
andrej-kramaric_2021/2022,95.0,32.8,160.0,14.0,43.0,8.0,347.1,846.0,2513.0,"[(2, 10)]","[0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
andrej-kramaric_2022/2023,64.0,33.01,146.0,3.0,34.0,6.0,316.1,705.0,2273.0,"[(4, 7)]","[0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
andrej-kramaric_2023/2024,71.0,33.01,147.0,10.0,24.0,9.0,293.7,628.0,1912.0,"[(13, 33)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33]"
andres-andrade_2021/2022,6.0,33.22,131.0,43.0,13.0,13.0,128.6,256.0,777.0,"[(10, 14)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0]"
angelino_2020/2021,36.0,33.32,219.0,20.0,106.0,23.0,268.8,662.0,1832.0,"[(1, 40)]","[0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
angelino_2021/2022,13.0,32.18,201.0,12.0,115.0,15.0,275.0,641.0,1849.0,"[(1, 18)]","[0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
angelo-stiller_2021/2022,14.0,32.78,188.0,35.0,13.0,25.0,218.2,314.0,1382.0,"[(11, 11), (8, 7), (11, 4)]","[0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 15, 0, 0]"
angelo-stiller_2022/2023,8.0,30.41,95.0,19.0,4.0,9.0,97.1,149.0,656.0,"[(3, 9), (0, 6), (10, 21)]","[6, 0, 0, 9, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0]"
ansgar-knauff_2022/2023,16.0,34.76,177.0,13.0,25.0,14.0,160.5,464.0,1185.0,"[(9, 63), (0, 4), (1, 31), (13, 21)]","[4, 31, 0, 0, 0, 0, 0, 0, 0, 63, 0, 0, 0, 21]"
anthony-caci_2022/2023,9.0,33.06,206.0,28.0,35.0,18.0,254.9,538.0,1727.0,"[(1, 3)]","[0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
anthony-caci_2023/2024,31.0,33.08,212.0,43.0,42.0,35.0,310.0,651.0,2074.0,"[(5, 9)]","[0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0]"
anthony-losilla_2023/2024,25.0,30.62,305.0,93.0,6.0,33.0,332.0,515.0,2104.0,"[(11, 5)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0]"
anthony-modeste_2019/2020,34.0,33.64,131.0,69.0,4.0,25.0,127.9,233.0,707.0,"[(13, 10)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10]"
anthony-modeste_2021/2022,109.0,33.43,239.0,120.0,9.0,38.0,277.3,573.0,1644.0,"[(11, 7)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0]"
anthony-modeste_2022/2023,21.0,33.24,83.0,40.0,3.0,13.0,90.3,184.0,484.0,"[(0, 44), (13, 7)]","[44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7]"
anthony-rouault_2023/2024,3.0,32.48,90.0,30.0,3.0,9.0,127.2,189.0,703.0,"[(2, 42), (2, 7)]","[0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
anton-kade_2021/2022,1.0,31.78,13.0,2.0,2.0,2.0,11.4,47.0,106.0,"[(10, 70)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 70, 0, 0, 0]"
anton-stach_2022/2023,36.0,33.48,287.0,83.0,25.0,24.0,272.7,536.0,1612.0,"[(11, 5), (1, 3), (0, 7)]","[7, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0]"
arne-maier_2019/2020,6.0,32.5,50.0,5.0,7.0,4.0,74.3,147.0,512.0,"[(4, 10), (3, 18), (11, 17)]","[0, 0, 0, 18, 10, 0, 0, 0, 0, 0, 0, 17, 0, 0]"
arne-maier_2020/2021,10.0,33.12,86.0,8.0,9.0,1.0,138.9,279.0,897.0,"[(4, 14), (11, 14), (3, 18)]","[0, 0, 0, 18, 14, 0, 0, 0, 0, 0, 0, 14, 0, 0]"
arne-maier_2021/2022,17.0,33.56,167.0,18.0,15.0,11.0,244.9,505.0,1820.0,"[(11, 7), (1, 11)]","[0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0]"
arne-maier_2022/2023,28.0,33.08,162.0,21.0,20.0,13.0,242.2,545.0,1736.0,"[(1, 4)]","[0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
arne-maier_2023/2024,23.0,31.82,76.0,6.0,25.0,4.0,137.0,337.0,1034.0,"[(4, 41)]","[0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
arthur_2023/2024,2.0,33.95,16.0,3.0,7.0,2.0,23.7,71.0,170.0,"[(1, 212)]","[0, 212, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
aster-vranckx_2021/2022,26.0,30.85,159.0,15.0,8.0,40.0,144.9,290.0,1080.0,"[(1, 14), (8, 27)]","[0, 14, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0]"
aster-vranckx_2023/2024,5.0,31.23,153.0,16.0,5.0,30.0,158.8,262.0,1147.0,"[(1, 21)]","[0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
atakan-karazor_2021/2022,8.0,32.7,264.0,68.0,2.0,38.0,244.4,351.0,1385.0,"[(11, 7), (4, 17), (1, 3), (1, 11)]","[0, 14, 0, 0, 17, 0, 0, 0, 0, 0, 0, 7, 0, 0]"
aurelio-buta_2023/2024,13.0,34.68,199.0,30.0,37.0,23.0,213.8,537.0,1580.0,"[(11, 13)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0]"
axel-witsel_2019/2020,30.0,32.04,215.0,26.0,3.0,36.0,278.9,314.0,1469.0,"[(1, 14), (2, 24), (13, 14)]","[0, 14, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14]"
aymen-barkok_2020/2021,19.0,34.37,143.0,18.0,12.0,21.0,142.8,407.0,1078.0,"[(5, 1)]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
aymen-barkok_2023/2024,12.0,33.23,46.0,12.0,6.0,15.0,49.0,115.0,351.0,"[(2, 22), (1, 17)]","[0, 17, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
baptiste-santamaria_2020/2021,28.0,32.02,318.0,68.0,28.0,31.0,305.2,451.0,1767.0,"[(6, 10)]","[0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0]"
bartol-franjic_2023/2024,3.0,32.35,95.0,17.0,3.0,18.0,152.3,267.0,983.0,"[(13, 2)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]"
bas-dost_2019/2020,34.0,31.34,190.0,125.0,1.0,15.0,167.3,265.0,839.0,"[(13, 42), (0, 17), (13, 6), (1, 10)]","[17, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48]"
bas-dost_2020/2021,15.0,31.86,120.0,74.0,1.0,16.0,109.2,169.0,573.0,"[(13, 16)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16]"
bastian-oczipka_2020/2021,8.0,33.12,174.0,23.0,35.0,13.0,223.5,499.0,1381.0,"[(1, 11)]","[0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
benito-raman_2019/2020,34.0,33.74,101.0,8.0,16.0,17.0,183.1,774.0,1547.0,"[(4, 17), (4, 10)]","[0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
benito-raman_2020/2021,26.0,34.14,97.0,7.0,15.0,15.0,147.6,595.0,1245.0,"[(5, 27), (4, 7)]","[0, 0, 0, 0, 7, 27, 0, 0, 0, 0, 0, 0, 0, 0]"
benjamin-goller_2019/2020,2.0,32.7,44.0,2.0,3.0,5.0,42.4,118.0,340.0,"[(1, 107)]","[0, 107, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
benjamin-henrichs_2020/2021,5.0,33.03,74.0,7.0,10.0,8.0,53.0,115.0,365.0,"[(11, 13), (3, 67)]","[0, 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0]"
benjamin-henrichs_2021/2022,13.0,32.95,128.0,7.0,21.0,11.0,132.4,321.0,886.0,"[(3, 21)]","[0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
benjamin-henrichs_2023/2024,35.0,33.32,289.0,29.0,46.0,27.0,283.6,668.0,1754.0,"[(1, 20)]","[0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
benjamin-hubner_2019/2020,27.0,30.56,224.0,78.0,4.0,21.0,235.5,205.0,867.0,"[(2, 18)]","[0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
benjamin-pavard_2020/2021,12.0,32.78,213.0,55.0,60.0,18.0,239.0,639.0,1740.0,"[(1, 7), (10, 21)]","[0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0]"
benjamin-pavard_2021/2022,18.0,32.24,209.0,59.0,28.0,16.0,255.8,596.0,1737.0,"[(4, 27)]","[0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
benjamin-stambouli_2020/2021,1.0,32.47,251.0,43.0,12.0,18.0,226.7,307.0,1212.0,"[(2, 18)]","[0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
benno-schmitz_2020/2021,5.0,31.36,44.0,6.0,9.0,8.0,50.6,78.0,227.0,"[(4, 21)]","[0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
benno-schmitz_2021/2022,12.0,32.07,252.0,39.0,85.0,27.0,296.3,455.0,1656.0,"[(13, 24)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24]"
benno-schmitz_2022/2023,11.0,31.65,241.0,38.0,79.0,31.0,291.2,332.0,1370.0,"[(11, 4), (4, 10)]","[0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 4, 0, 0]"
benno-schmitz_2023/2024,8.0,31.69,111.0,17.0,29.0,9.0,145.7,181.0,740.0,"[(1, 17)]","[0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
bernard-tekpetey_2019/2020,11.0,35.3,55.0,4.0,10.0,14.0,50.4,138.0,353.0,"[(13, 16)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16]"
birger-verstraete_2019/2020,7.0,32.34,63.0,11.0,5.0,13.0,82.1,117.0,436.0,"[(3, 43)]","[0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
blendi-idrizi_2020/2021,4.0,31.26,30.0,3.0,1.0,3.0,31.3,58.0,210.0,"[(13, 14), (13, 8)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22]"
borja-iglesias_2023/2024,9.0,32.46,18.0,2.0,1.0,2.0,32.5,63.0,214.0,"[(1, 16)]","[0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
borna-sosa_2021/2022,25.0,34.11,242.0,27.0,107.0,12.0,277.8,531.0,1581.0,"[(13, 10), (3, 7), (1, 7), (5, 18)]","[0, 7, 0, 7, 0, 18, 0, 0, 0, 0, 0, 0, 0, 10]"
borna-sosa_2022/2023,15.0,33.63,160.0,21.0,123.0,12.0,214.7,360.0,1113.0,"[(1, 4), (13, 29), (11, 3), (1, 5), (13, 35)]","[0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 64]"
bouna-sarr_2020/2021,3.0,32.46,70.0,10.0,11.0,9.0,59.9,162.0,479.0,"[(1, 21), (11, 10)]","[0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0]"
brajan-gruda_2023/2024,32.0,33.97,251.0,10.0,32.0,27.0,210.9,553.0,1590.0,"[(0, 11), (12, 6)]","[11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0]"
breel-embolo_2019/2020,42.0,35.31,273.0,29.0,2.0,40.0,172.1,507.0,1185.0,"[(4, 16), (1, 23), (4, 45)]","[0, 23, 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
breel-embolo_2020/2021,41.0,34.54,282.0,43.0,3.0,33.0,161.6,450.0,1176.0,"[(4, 21)]","[0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
breel-embolo_2021/2022,48.0,34.69,322.0,38.0,2.0,39.0,216.7,569.0,1432.0,"[(13, 25), (13, 65)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 90]"
brenden-aaronson_2023/2024,19.0,34.18,198.0,12.0,13.0,15.0,186.3,476.0,1430.0,"[(11, 3)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0]"
brian-behrendt_2020/2021,2.0,31.05,8.0,3.0,1.0,1.0,2.4,10.0,18.0,"[(1, 33)]","[0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
bryan-lasme_2021/2022,13.0,36.08,118.0,42.0,11.0,13.0,103.4,336.0,796.0,"[(3, 49)]","[0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
can-bozdogan_2020/2021,8.0,30.73,80.0,6.0,5.0,7.0,82.5,139.0,645.0,"[(4, 11)]","[0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
carlos-gruezo_2020/2021,15.0,31.53,207.0,11.0,3.0,32.0,251.0,355.0,1372.0,"[(1, 13)]","[0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
